tbl,year,qtr,region_name,prj_id,prj_title,ave_prod,ave_prod_change
ByQtr,2021,1,CALABARZON,916,"UPGRADING OF TURMERIC POWDER PRODUCTION OF MAMALAHIN 2 RURAL IMPROVEMENT CLUB (MAMARIC)",1,NULL
ByQtr,2021,3,CALABARZON,982,"Upgrading to Fiber-to-the-Home (FTTH) Technology of Celebrity Cable Network Inc.",0,NULL
ByQtr,2021,2,CALABARZON,905,"TECHNOLOGY UPGRADING FOR PRODUCT DEVELOPMENT OF HONEYBEE MULTI-PURPOSE COOPERATIVE IN BALETE, BATANGAS THROUGH EQUIPMENT ACQUISITION",1,0.0000
ByQtr,2021,2,CALABARZON,448,"Modernization of the Production Process of Farmtec Foods, Inc.",1,0.0000
ByQtr,2021,1,CALABARZON,632,"ADOPTION OF DOST-FNRI TECHNOLOGY ON TUBIG TALINO (IODINE-RICH DRINKING WATER AND “WATER PLUS + I2”) FOR CBL BLUEWATERS WATER REFILLING STATION",-1,NULL
ByQtr,2021,1,CALABARZON,956,"ESTABLISHMENT OF PROCESSING FACILITY FOR THE PRODUCTION OF (FFAA) FERMENTED FISH AMINO ACID USING CARNIVOROUS KNIFE FISH",1,NULL
ByQtr,2021,2,CALABARZON,495,"Mechanization of Production Processes of Siony&#039;s Pili Tarts and Pastillas",1,-1.0556
ByQtr,2021,1,CALABARZON,494,"Production Process and Product Improvement of RBM Bakeshop",76,NULL
ByQtr,2021,2,CALABARZON,447,"Improvement of Product Quality and Safety of Bread Products of Dan and Thea Bakery through Upgrading of Equipment",33,1.2000
ByQtr,2021,1,CALABARZON,906,"Upgrading of the Nipanog Production of Binonoan Producers&#039; Cooperative",-1,NULL
ByQtr,2021,1,CALABARZON,613,"CAPACITY UPGRADING OF DOUGHPRO MANUFACTURING &amp; TRADING CORP.",1,NULL
ByQtr,2021,2,CALABARZON,760,"Upgrading of Fermentation Process through Equipment Acquisition of the Blackwhite Craft Brewery in Mabini, Batangas",-50,0.0000
ByQtr,2021,1,CALABARZON,606,"Installation of CNC Plasmacam Cutting Machine for Fabrication of GMG Powder Coating Inc. in Angono, Rizal",97,NULL
ByQtr,2021,1,CALABARZON,786,"UPGRADING OF BULSA MPC PRODUCTION FACILITY THROUGH EQUIPMENT ACQUISITION",1,NULL
