prj_title,year,beneficiaries,sector,status,region,implementor,cost
: Product Quality Improvement and Capability Building through AUTOCAD with 3d Modeling Training for PFIF and PhilExport Members,2014,"Pampanga Furniture Industries Foundation, Inc.",Furniture,Completed,Region III,PSTC-PAMPANGA,"592,000.00"
"""Development of Data Analytics-Ready Info Unified System (DARIUS) for Agile Delivery of S&T Services""",2018,DOST Regional Offices (DOST ROs),ICT,Completed,Region IV-A,RO-MIS,"10,255,542.00"
3rd International Symposium of the Vacuum Society of the Philippines,2020,University of the Philippines Baguio,Other Regional Industry Priorities,On-going,CAR,RO-Project Coordinators,"61,268.00"
A Hybrid Static-Dynamic Route Optimization for Drop-off and Pickup Problem Using Genetic Algorithm,2021,Dirtbag,Other Regional Industry Priorities,On-going,Region X,RO-CONSORTIA,"2,627,641.00"
"Abaca Fiber Processing as S&T Intervention in PRLEC and ELCAC Area in Lagonglong, Misamis Oriental- D1 with AFFASSKA, ROFA, and BAFA",2021,LGU-Lagonglong,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"1,307,216.00"
"Abaca Utilization and Fiber Production with Fiber Quality Enhancement: A CEST Project for a Sustainable Livelihood Program in salay, Misamis Oriental",2019,"LGU-Salay, Misamis Oriental",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"253,000.00"
Adoption and Distribution of Ceramic Water Filter (ITDI-DOST Designed) to Yolanda Stricken Communities in Leyte ( for 30 LGUs),2017,30 Yolanda Affected Communities in Leyte / Selected Municipalities in Province of Leyte,Health & Wellness Products,On-going,Region VIII,PSTC-LEYTE,"1,126,250.00"
Adoption and Distribution of Versatile Instrumentation System for Science Education and Research (VISSER) of UPD to DepEd Supervised High Schools in Leyte (for 15 LGUs),2017,DepEd Identified Schools (15 schools),,On-going,Region VIII,PSTC-LEYTE,"626,500.00"
"Adoption of DOST-FNRI Technology on Stabilized Brown Rice Production by LGU Silago, Southern Leyte",2017,Patik Puntana Irrigators Association,Food Processing,On-going,Region VIII,PSTC-SOUTHERN LEYTE,"1,578,000.00"
Agro-Industrial Equipment and Machinery Technology Center (AIMTEC),2011,Capiz State University - Main Campus,Metals & Engineering,Completed,Region VI,PSTC-CAPIZ,"459,000.00"
"Application of Complementary Food Technology to Reduce Malnutrition in the Municipality of Damulog, Bukidnon - D3 through Complementary Feeding",2017,LGU-Damulog,Other Regional Industry Priorities,Completed,Region X,PSTC-BUKIDNON,"401,960.00"
Application of Complementary Food Technology to Reduce Malnutrition in the Municipality of Kolambugan-D1 thru Complementary Feeding,2017,"LGU-Kolambugan, Lanao del Norte",Health & Wellness Products,On-going,Region X,PSTC-LANAO DEL NORTE,"634,920.00"
"Application of DOST-FNRI Developed Complementary Food Products to Reduce Malnutrition Cases in the Municipality of Linamon, LDN",2021,LGU Linamon,Health & Wellness Products,On-going,Region X,PSTC-LANAO DEL NORTE,"353,000.00"
"ARG for Mitigation of Bagyo and Other Natural disasters (AMBON) Project through DOST-ASTI Weather Monitoring Technology in Sapang Dalaga, Misamis Occidental-D1",2021,Local Government Unit of Sapang Dalaga (LGU-Sapang Dalaga),Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"164,700.00"
"ARG for Natural Disasters Adaptation and Mitigation (ANDAM) Project through DOST-ASTI Weather Monitoring Technology in Concepcion, Misamis Occidental-D1",2021,Local Government Unit of Concepcion,Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"272,500.00"
Assessment and Installation of a Pulse Width Modulation (PWM) Charge Controller and a Maximum Power Point Transfer for a Battery Less On Grid Solar Powered System,2016,Don Honorio Ventura Technological State University,Metals & Engineering,Completed,Region III,PSTC-PAMPANGA,"670,000.00"
