tbl,year,qtr,region_name,prj_id,prj_title,total_volume_production_local,total_volume_production_export,total_gross_sales_local,total_gross_sales_export
ByQtr,2021,"1st Quarter",CALABARZON,43,"Enhancing Capability of VN Industrial Tooling Services through Upgrading the Shearing and Bending Processes",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,235,"Enhancement of the Post-Harvest Production Capability of CALAMBA UPLAND FARMERS MULTI-PURPOSE COOPERATIVE Through the Provision of a Modern Dryer and Corn Sheller",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,241,"Upgrading of Heat Treatment and milling of elf Precision Tooling Services",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,263,"Equipment Upgrade to Maximize Productivity of Rapid Curing Production Line in Manufacturing of Quality Chicken Salted Eggs",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,264,"Installation of a Press Brake 50T NC for Metal Fabrication of Goldros Corporation in Angono, Rizal",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,268,"Upgrading of Grinding Process of Mag&#039;s Machine  Shop and Engineering Works",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,271,"Upgrading of the Production Process of Golden J Siopao",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,277,"Improvement of Street- Food Vending as Community- Based Livelihood opportunities for Vendors of the Local Government Unit (LGU) of Bacoor",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,279,"Enhancing Technical Capability of Mariñas Technologies, Inc. in the Commercialization of MRF (Material Recovery Facility) through the Provision of CNC Horizontal Lathe Machine",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,288,"ESTABLISHMENT MEAT PROCESSING FACILITY FOR KASANGKAP MPC",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,309,"Development of Production Capability and Capacity of Gordola Food Enterprise through Product Quality Analysis and Equipment Acquisition",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,316,"Improvement of Pizza Production of Chef Ary and Ky&#039;s Pizzeria and Resto",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,325,"Upgrading of Rice Milling Process of Aspilla Rice Mill in Pililla, Rizal",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,332,"Establishment of Peanut Butter Processing Center for Boyet Ynares Ladies Movement in Binangonan",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,335,"Upgrading of Bamboo Processing Facility of Cardona Multi-Purpose Cooperative Through Equipment Acquisition",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,345,"Enhancing the Production Capability of Sweet Solutions  Bakeshop thru Acquisition of Modern Baking Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,347,"Production Efficiency Improvement of Pancit Lucban for Racelis Miki Factory",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,350,"Upgrading of the Production Process of Teng&#039;s Cakes and Pastries",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,351,"Upgrading of Existing Equipment fro Roasted Corn Powder Production of Adelet&#039;s Food Products",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,353,"Printing Production and Quality Improvement fro Printerest Design Studio",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,357,"Adoption of New Technology and Upgrading of Existing Equipment for Donut Production of MJ and PJ Bakeshop",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,363,"ACQUISITION OF APPROPRIATE EQUIPMENT TO UPGRADE MARVON DRYING SERVICES PRODUCTION FACILITY",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,364,"Upgrading of Database Management System of San Jose Workers Multipurpose Cooperative through the Integrated Accounting Software and Point-of-Sale System",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,366,"Bottling Process Improvement in Barako Coffee and Native White Ginger Liqueur Production",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,382,"Strengthening the Production Capability and Marketing Potential of Dolly&#039;s Banana Chips",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,387,"JJ Agriventures Inc. Acquisition of New Equipment for Livestock Feed Production in Morong, Rizal",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,389,"MECHANIZATION OF THE PRODUCTION PROCESSES AND GMP IMPLEMENTATION OF GINGA AGRIFOOD MANUFACTURING ENTERPRISES, INC.â€",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,396,"Improvement of the Drying Process of Dried Pancit Lucban of New A.M. Miki Factory",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,405,"Equipment Upgrade for Improved Production Facility of Cordero Sewing Services",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,408,"Establishment of City of Bacoor Food Processing Center, a Community- Based Livelihood Project for members of City Livelihood Cooperative",0.000,0.000,0.000,0.000
