tbl,year,qtr,region_name,prj_id,prj_title,total_employment
ByQtr,2005,1,CALABARZON,179,"Packaging and Quality Improvement of Kakanin",93
ByQtr,2007,1,CALABARZON,179,"Packaging and Quality Improvement of Kakanin",84
ByQtr,2007,1,CALABARZON,171,"Coping with the Latest Packaging Trend",87
ByQtr,2008,1,CALABARZON,192,"Installation of Spray Booth and Dust Collection System",94
ByQtr,2009,1,CALABARZON,171,"Coping with the Latest Packaging Trend",36
ByQtr,2009,1,CALABARZON,141,"Upgrading of Packaging System for Soy Sauce and Vinegar Products",0
ByQtr,2009,1,CALABARZON,192,"Installation of Spray Booth and Dust Collection System",58
ByQtr,2009,1,CALABARZON,159,"Expansion and Upgrading of Production capacity of Tropical Fruit Wine Processing plant",16
ByQtr,2010,1,CALABARZON,141,"Upgrading of Packaging System for Soy Sauce and Vinegar Products",29
ByQtr,2011,1,CALABARZON,155,"Expansion of the Production Capabilities of Grandpa&#039;s Farm Foods in Instant Salabat Production",10
ByQtr,2011,1,CALABARZON,140,"Upgrading of Production Capacity of MLGS Herbal Food Products",13
ByQtr,2011,1,CALABARZON,141,"Upgrading of Packaging System for Soy Sauce and Vinegar Products",29
ByQtr,2012,1,CALABARZON,140,"Upgrading of Production Capacity of MLGS Herbal Food Products",28
ByQtr,2012,1,CALABARZON,101,"Enhancing the Industry Competitiveness of Riclet Engineering focusing on Production Efficiency, accuracy, Product Quality and Services Offered through the acquisition of CNC Lathe Machine",25
ByQtr,2012,1,CALABARZON,159,"Expansion and Upgrading of Production capacity of Tropical Fruit Wine Processing plant",2
ByQtr,2012,1,CALABARZON,141,"Upgrading of Packaging System for Soy Sauce and Vinegar Products",58
ByQtr,2012,1,CALABARZON,113,"Upgrading of Productivity and Product Quality of San Jose Cabinet Manufacturing through acquisition of a seven (7) station edge edge Banding Machine",0
ByQtr,2012,1,CALABARZON,100,"Improvement of Production Capacity of SaTin Crafts  through Acquisition of Drill Press, Grinder, Circular Saw, Hand Drilland Air Compressor",10
ByQtr,2012,1,CALABARZON,66,"Packaging Development and Equipment Upgrading for Candelaria Coco Food Products",0
ByQtr,2012,1,CALABARZON,166,"Commercialization of Tahong Chips Production Through  the Acquisition of Modern Equipment",0
ByQtr,2012,1,CALABARZON,150,"Productivity and Quality Improvement of Angono Ethnic Food Products",16
