tbl,year,qtr,month,region_name,total_acq,total_approved,eqpt_acq_over_approved,eqpt_total_records,ave_eqpt_acq_rate
ByYear,NULL,,,CALABARZON,113989234.440,153203374.890,390490.2853846,584,668.65
ByYear,202,,,CALABARZON,85120.000,85120.000,1.0000000,1,1.00
ByYear,2004,,,CALABARZON,755000.000,755000.000,2.0000000,2,1.00
ByYear,2008,,,CALABARZON,1452560.000,1452560.000,6.0000000,6,1.00
ByYear,2009,,,CALABARZON,1080000.000,1080000.000,2.0000000,2,1.00
ByYear,2010,,,CALABARZON,468560.000,468560.000,4.0000000,4,1.00
ByYear,2011,,,CALABARZON,90272.000,90272.000,8.0000000,8,1.00
ByYear,2012,,,CALABARZON,4537060.000,4537060.000,6.0000000,6,1.00
ByYear,2013,,,CALABARZON,10683545.500,10772177.500,54.6696867,55,0.99
ByYear,2014,,,CALABARZON,17983194.500,21368426.000,50.5404936,59,0.86
ByYear,2015,,,CALABARZON,26704143.770,27177637.770,100.6492113,89,1.13
ByYear,2016,,,CALABARZON,24337867.030,48127485.600,115.0319875,121,0.95
ByYear,2017,,,CALABARZON,75348227.270,91265105.560,22574.9971739,215,105.00
ByYear,2018,,,CALABARZON,44091332.870,50616367.460,122.7911522,142,0.86
ByYear,2019,,,CALABARZON,34984446.090,46415046.410,116.3247930,123,0.95
ByYear,2020,,,CALABARZON,40243085.310,41243967.330,85.8766735,82,1.05
ByYear,2021,,,CALABARZON,11419115.230,3547253.630,21612.4119336,27,800.46
ByQtr,NULL,NULL,,CALABARZON,113989234.440,153203374.890,390490.2853846,584,668.65
ByQtr,202,1,,CALABARZON,85120.000,85120.000,1.0000000,1,1.00
ByQtr,2004,3,,CALABARZON,755000.000,755000.000,2.0000000,2,1.00
ByQtr,2008,1,,CALABARZON,360000.000,360000.000,1.0000000,1,1.00
ByQtr,2008,2,,CALABARZON,888000.000,888000.000,3.0000000,3,1.00
ByQtr,2008,3,,CALABARZON,204560.000,204560.000,2.0000000,2,1.00
ByQtr,2009,1,,CALABARZON,90000.000,90000.000,1.0000000,1,1.00
ByQtr,2009,3,,CALABARZON,990000.000,990000.000,1.0000000,1,1.00
ByQtr,2010,1,,CALABARZON,120000.000,120000.000,1.0000000,1,1.00
ByQtr,2010,4,,CALABARZON,348560.000,348560.000,3.0000000,3,1.00
ByQtr,2011,1,,CALABARZON,30272.000,30272.000,5.0000000,5,1.00
ByQtr,2011,2,,CALABARZON,60000.000,60000.000,3.0000000,3,1.00
ByQtr,2012,1,,CALABARZON,2000000.000,2000000.000,1.0000000,1,1.00
ByQtr,2012,2,,CALABARZON,550000.000,550000.000,1.0000000,1,1.00
ByQtr,2012,3,,CALABARZON,1254500.000,1254500.000,2.0000000,2,1.00
ByQtr,2012,4,,CALABARZON,732560.000,732560.000,2.0000000,2,1.00
ByQtr,2013,1,,CALABARZON,2043850.000,2041850.000,13.0400000,13,1.00
ByQtr,2013,2,,CALABARZON,2132327.500,2223827.500,14.5101681,15,0.97
ByQtr,2013,3,,CALABARZON,2363500.000,2365500.000,10.9931507,11,1.00
