tbl,year,qtr,region_name,fund_utilized,fund_cost,fund_utilized_over_total_cost,total_projects,ave_fund_utilization_rate
ByYear,2005,,CALABARZON,0.000,0.000,NULL,3,NULL
ByYear,2006,,CALABARZON,0.000,0.000,NULL,5,NULL
ByYear,2007,,CALABARZON,0.000,0.000,NULL,3,NULL
ByYear,2008,,CALABARZON,0.000,0.000,NULL,3,NULL
ByYear,2009,,CALABARZON,0.000,1881000.000,0.0000000,5,0.00
ByYear,2010,,CALABARZON,0.000,627000.000,0.0000000,2,0.00
ByYear,2011,,CALABARZON,0.000,999000.000,0.0000000,5,0.00
ByYear,2012,,CALABARZON,13062300.000,21704839.000,10.0000000,33,0.30
ByYear,2013,,CALABARZON,30726114.000,49511142.000,27.7043928,77,0.36
ByYear,2014,,CALABARZON,58424803.100,1082033786.000,52.9019658,154,0.34
ByYear,2015,,CALABARZON,207028631.480,1423150493.880,215.6540692,667,0.32
ByYear,2016,,CALABARZON,320235579.510,1619602325.510,362.9710302,1034,0.35
ByYear,2017,,CALABARZON,415699071.580,1804912640.940,418.2943135,1215,0.34
ByYear,2018,,CALABARZON,399858798.980,1324975939.320,443.2395423,1249,0.35
ByYear,2019,,CALABARZON,3155148854.180,4522970432.930,378.7197204,1108,0.34
ByYear,2020,,CALABARZON,419778579.280,1649001597.550,345.8717060,869,0.40
ByYear,2021,,CALABARZON,145858605.320,206209391.490,114.6319274,264,0.43
ByQtr,2005,2,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2005,3,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2005,4,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2006,1,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2006,2,CALABARZON,0.000,0.000,NULL,2,NULL
ByQtr,2006,3,CALABARZON,0.000,0.000,NULL,2,NULL
ByQtr,2007,3,CALABARZON,0.000,0.000,NULL,2,NULL
ByQtr,2007,4,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2008,2,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2008,3,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2008,4,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2009,1,CALABARZON,0.000,627000.000,0.0000000,1,0.00
ByQtr,2009,2,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2009,3,CALABARZON,0.000,627000.000,0.0000000,1,0.00
ByQtr,2009,4,CALABARZON,0.000,627000.000,0.0000000,2,0.00
ByQtr,2010,1,CALABARZON,0.000,627000.000,0.0000000,2,0.00
ByQtr,2011,1,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2011,2,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2011,3,CALABARZON,0.000,0.000,NULL,1,NULL
ByQtr,2011,4,CALABARZON,0.000,999000.000,0.0000000,2,0.00
ByQtr,2012,1,CALABARZON,2729400.000,4355400.000,2.0000000,5,0.40
ByQtr,2012,2,CALABARZON,2729400.000,4308400.000,2.0000000,7,0.29
