tbl,year,qtr,month,region_name,ave_proj_cost
ByYear,NULL,,,CALABARZON,1953837.47
ByYear,2002,,,CALABARZON,150000.00
ByYear,2005,,,CALABARZON,623250.00
ByYear,2006,,,CALABARZON,463296.00
ByYear,2007,,,CALABARZON,867000.00
ByYear,2008,,,CALABARZON,890500.00
ByYear,2009,,,CALABARZON,519916.67
ByYear,2010,,,CALABARZON,100000.00
ByYear,2011,,,CALABARZON,529296.67
ByYear,2012,,,CALABARZON,1029860.93
ByYear,2013,,,CALABARZON,934063.51
ByYear,2014,,,CALABARZON,896595.81
ByYear,2015,,,CALABARZON,871598.56
ByYear,2016,,,CALABARZON,644959.45
ByYear,2017,,,CALABARZON,1122421.48
ByYear,2018,,,CALABARZON,1261977.08
ByYear,2019,,,CALABARZON,1074879.29
ByYear,2020,,,CALABARZON,1672889.34
ByYear,2021,,,CALABARZON,1396555.92
ByQtr,NULL,NULL,,CALABARZON,1953837.47
ByQtr,2002,1,,CALABARZON,150000.00
ByQtr,2005,1,,CALABARZON,673333.33
ByQtr,2005,3,,CALABARZON,473000.00
ByQtr,2006,1,,CALABARZON,463296.00
ByQtr,2007,1,,CALABARZON,867000.00
ByQtr,2008,1,,CALABARZON,978333.33
ByQtr,2008,3,,CALABARZON,627000.00
ByQtr,2009,1,,CALABARZON,519916.67
ByQtr,2010,4,,CALABARZON,100000.00
ByQtr,2011,1,,CALABARZON,500000.00
ByQtr,2011,3,,CALABARZON,729400.00
ByQtr,2011,4,,CALABARZON,358490.00
ByQtr,2012,1,,CALABARZON,1427670.00
ByQtr,2012,2,,CALABARZON,962240.00
ByQtr,2012,3,,CALABARZON,1772984.50
ByQtr,2012,4,,CALABARZON,799350.57
ByQtr,2013,1,,CALABARZON,1180302.79
ByQtr,2013,2,,CALABARZON,678119.90
ByQtr,2013,3,,CALABARZON,974249.64
ByQtr,2013,4,,CALABARZON,712403.33
ByQtr,2014,1,,CALABARZON,872036.29
ByQtr,2014,2,,CALABARZON,1112050.36
ByQtr,2014,3,,CALABARZON,1016444.20
ByQtr,2014,4,,CALABARZON,581498.60
ByQtr,2015,1,,CALABARZON,1050075.40
ByQtr,2015,2,,CALABARZON,747391.50
ByQtr,2015,3,,CALABARZON,1001797.00
ByQtr,2015,4,,CALABARZON,732526.93
ByQtr,2016,1,,CALABARZON,648015.00
ByQtr,2016,2,,CALABARZON,247954.67
ByQtr,2016,3,,CALABARZON,663947.50
ByQtr,2016,4,,CALABARZON,699818.41
ByQtr,2017,1,,CALABARZON,1015873.94
ByQtr,2017,2,,CALABARZON,1307741.95
ByQtr,2017,3,,CALABARZON,1504333.33
ByQtr,2017,4,,CALABARZON,1017511.63
ByQtr,2018,1,,CALABARZON,1190489.42
ByQtr,2018,2,,CALABARZON,1374967.24
ByQtr,2018,3,,CALABARZON,1537049.08
ByQtr,2018,4,,CALABARZON,1051788.50
