tbl,year,qtr,month,region_name,total_graduated,total_setup,percent_setup_refund
ByMonth,NULL,NULL,NULL,CALABARZON,27,NULL,NULL
ByMonth,2002,1,1,CALABARZON,1,1,100.00
ByMonth,2005,1,1,CALABARZON,1,3,33.33
ByMonth,2005,3,7,CALABARZON,1,1,100.00
ByMonth,2006,1,1,CALABARZON,2,2,100.00
ByMonth,2007,1,1,CALABARZON,1,1,100.00
ByMonth,2008,1,1,CALABARZON,2,3,66.67
ByMonth,2008,3,8,CALABARZON,1,1,100.00
ByMonth,2009,1,1,CALABARZON,1,3,33.33
ByMonth,2011,3,8,CALABARZON,1,1,100.00
ByMonth,2011,4,11,CALABARZON,1,1,100.00
ByMonth,2012,1,2,CALABARZON,1,1,100.00
ByMonth,2012,2,4,CALABARZON,3,3,100.00
ByMonth,2012,2,6,CALABARZON,1,1,100.00
ByMonth,2012,3,7,CALABARZON,1,1,100.00
ByMonth,2012,3,9,CALABARZON,1,1,100.00
ByMonth,2012,4,11,CALABARZON,1,2,50.00
ByMonth,2012,4,12,CALABARZON,2,3,66.67
ByMonth,2013,1,1,CALABARZON,2,2,100.00
ByMonth,2013,1,2,CALABARZON,1,3,33.33
ByMonth,2013,1,3,CALABARZON,5,7,71.43
ByMonth,2013,2,4,CALABARZON,1,2,50.00
ByMonth,2013,2,5,CALABARZON,4,4,100.00
ByMonth,2013,2,6,CALABARZON,2,2,100.00
ByMonth,2013,3,7,CALABARZON,1,3,33.33
ByMonth,2013,3,8,CALABARZON,4,4,100.00
ByMonth,2013,3,9,CALABARZON,4,4,100.00
ByMonth,2013,4,12,CALABARZON,1,1,100.00
ByMonth,2014,1,2,CALABARZON,4,4,100.00
ByMonth,2014,1,3,CALABARZON,4,6,66.67
ByMonth,2014,2,6,CALABARZON,4,6,66.67
ByMonth,2014,3,7,CALABARZON,3,4,75.00
ByMonth,2014,3,8,CALABARZON,1,1,100.00
ByMonth,2014,4,10,CALABARZON,1,3,33.33
ByMonth,2015,1,1,CALABARZON,1,1,100.00
ByMonth,2015,1,2,CALABARZON,1,1,100.00
ByMonth,2015,1,3,CALABARZON,5,10,50.00
ByMonth,2015,2,6,CALABARZON,4,4,100.00
ByMonth,2015,3,7,CALABARZON,1,1,100.00
ByMonth,2015,4,11,CALABARZON,2,4,50.00
ByMonth,2016,1,2,CALABARZON,2,4,50.00
ByMonth,2016,3,8,CALABARZON,1,1,100.00
ByMonth,2017,1,1,CALABARZON,3,9,33.33
ByMonth,2017,1,3,CALABARZON,4,12,33.33
ByMonth,2017,4,11,CALABARZON,1,8,12.50
ByQtr,NULL,NULL,,CALABARZON,27,NULL,NULL
ByQtr,2002,1,,CALABARZON,1,1,100.00
ByQtr,2005,1,,CALABARZON,1,3,33.33
ByQtr,2005,3,,CALABARZON,1,1,100.00
ByQtr,2006,1,,CALABARZON,2,2,100.00
ByQtr,2007,1,,CALABARZON,1,1,100.00
ByQtr,2008,1,,CALABARZON,2,3,66.67
ByQtr,2008,3,,CALABARZON,1,1,100.00
ByQtr,2009,1,,CALABARZON,1,3,33.33
ByQtr,2011,3,,CALABARZON,1,1,100.00
ByQtr,2011,4,,CALABARZON,1,1,100.00
ByQtr,2012,1,,CALABARZON,1,1,100.00
ByQtr,2012,2,,CALABARZON,4,4,100.00
ByQtr,2012,3,,CALABARZON,2,2,100.00
ByQtr,2012,4,,CALABARZON,3,7,42.86
ByQtr,2013,1,,CALABARZON,8,12,66.67
ByQtr,2013,2,,CALABARZON,7,8,87.50
ByQtr,2013,3,,CALABARZON,9,11,81.82
ByQtr,2013,4,,CALABARZON,1,6,16.67
ByQtr,2014,1,,CALABARZON,8,10,80.00
ByQtr,2014,2,,CALABARZON,4,8,50.00
ByQtr,2014,3,,CALABARZON,4,7,57.14
ByQtr,2014,4,,CALABARZON,1,3,33.33
ByQtr,2015,1,,CALABARZON,7,12,58.33
ByQtr,2015,2,,CALABARZON,4,6,66.67
ByQtr,2015,3,,CALABARZON,1,5,20.00
ByQtr,2015,4,,CALABARZON,2,9,22.22
ByQtr,2016,1,,CALABARZON,2,5,40.00
ByQtr,2016,3,,CALABARZON,1,6,16.67
ByQtr,2017,1,,CALABARZON,7,33,21.21
ByQtr,2017,4,,CALABARZON,1,14,7.14
ByYear,NULL,,,CALABARZON,27,NULL,NULL
ByYear,2002,,,CALABARZON,1,1,100.00
ByYear,2005,,,CALABARZON,2,4,50.00
ByYear,2006,,,CALABARZON,2,2,100.00
ByYear,2007,,,CALABARZON,1,1,100.00
ByYear,2008,,,CALABARZON,3,4,75.00
ByYear,2009,,,CALABARZON,1,3,33.33
ByYear,2011,,,CALABARZON,2,3,66.67
ByYear,2012,,,CALABARZON,10,14,71.43
ByYear,2013,,,CALABARZON,25,37,67.57
ByYear,2014,,,CALABARZON,17,28,60.71
ByYear,2015,,,CALABARZON,14,32,43.75
ByYear,2016,,,CALABARZON,3,25,12.00
ByYear,2017,,,CALABARZON,8,69,11.59
