tbl,year,qtr,month,region_name,total_eqpt,total_eqpt_budget
ByYear,NULL,,,CALABARZON,584,153203374.89
ByYear,202,,,CALABARZON,1,85120.00
ByYear,2004,,,CALABARZON,2,755000.00
ByYear,2008,,,CALABARZON,6,1452560.00
ByYear,2009,,,CALABARZON,2,1080000.00
ByYear,2010,,,CALABARZON,4,468560.00
ByYear,2011,,,CALABARZON,8,90272.00
ByYear,2012,,,CALABARZON,6,4537060.00
ByYear,2013,,,CALABARZON,55,10772177.50
ByYear,2014,,,CALABARZON,59,21368426.00
ByYear,2015,,,CALABARZON,89,27177637.77
ByYear,2016,,,CALABARZON,121,48127485.60
ByYear,2017,,,CALABARZON,215,91265105.56
ByYear,2018,,,CALABARZON,142,50616367.46
ByYear,2019,,,CALABARZON,123,46415046.41
ByYear,2020,,,CALABARZON,82,41243967.33
ByYear,2021,,,CALABARZON,27,3547253.63
ByQtr,NULL,NULL,,CALABARZON,584,153203374.89
ByQtr,202,1,,CALABARZON,1,85120.00
ByQtr,2004,3,,CALABARZON,2,755000.00
ByQtr,2008,1,,CALABARZON,1,360000.00
ByQtr,2008,2,,CALABARZON,3,888000.00
ByQtr,2008,3,,CALABARZON,2,204560.00
ByQtr,2009,1,,CALABARZON,1,90000.00
ByQtr,2009,3,,CALABARZON,1,990000.00
ByQtr,2010,1,,CALABARZON,1,120000.00
ByQtr,2010,4,,CALABARZON,3,348560.00
ByQtr,2011,1,,CALABARZON,5,30272.00
ByQtr,2011,2,,CALABARZON,3,60000.00
ByQtr,2012,1,,CALABARZON,1,2000000.00
ByQtr,2012,2,,CALABARZON,1,550000.00
ByQtr,2012,3,,CALABARZON,2,1254500.00
ByQtr,2012,4,,CALABARZON,2,732560.00
ByQtr,2013,1,,CALABARZON,13,2041850.00
ByQtr,2013,2,,CALABARZON,15,2223827.50
ByQtr,2013,3,,CALABARZON,11,2365500.00
ByQtr,2013,4,,CALABARZON,16,4141000.00
ByQtr,2014,1,,CALABARZON,10,4511360.00
ByQtr,2014,2,,CALABARZON,21,5820500.00
ByQtr,2014,3,,CALABARZON,16,9841206.00
ByQtr,2014,4,,CALABARZON,12,1195360.00
ByQtr,2015,1,,CALABARZON,25,3266175.00
ByQtr,2015,2,,CALABARZON,19,8126950.00
ByQtr,2015,3,,CALABARZON,16,7805652.77
ByQtr,2015,4,,CALABARZON,29,7978860.00
ByQtr,2016,1,,CALABARZON,19,26590480.00
ByQtr,2016,2,,CALABARZON,29,2952918.56
ByQtr,2016,3,,CALABARZON,33,8835021.92
ByQtr,2016,4,,CALABARZON,40,9749065.12
ByQtr,2017,1,,CALABARZON,46,21270014.14
ByQtr,2017,2,,CALABARZON,82,23202523.00
ByQtr,2017,3,,CALABARZON,52,23966800.00
ByQtr,2017,4,,CALABARZON,35,22825768.42
ByQtr,2018,1,,CALABARZON,52,18877395.64
ByQtr,2018,2,,CALABARZON,30,4186262.40
ByQtr,2018,3,,CALABARZON,43,11263183.89
ByQtr,2018,4,,CALABARZON,17,16289525.53
ByQtr,2019,1,,CALABARZON,38,7898146.94
ByQtr,2019,2,,CALABARZON,36,19947450.96
ByQtr,2019,3,,CALABARZON,18,12660150.00
ByQtr,2019,4,,CALABARZON,31,5909298.51
ByQtr,2020,1,,CALABARZON,30,18098887.78
ByQtr,2020,2,,CALABARZON,8,8599131.55
ByQtr,2020,3,,CALABARZON,14,4343782.00
ByQtr,2020,4,,CALABARZON,30,10202166.00
ByQtr,2021,1,,CALABARZON,15,2571090.14
ByQtr,2021,2,,CALABARZON,11,956163.49
ByQtr,2021,3,,CALABARZON,1,20000.00
ByMonth,NULL,NULL,NULL,CALABARZON,584,153203374.89
ByMonth,202,1,2,CALABARZON,1,85120.00
ByMonth,2004,3,8,CALABARZON,1,385000.00
ByMonth,2004,3,9,CALABARZON,1,370000.00
ByMonth,2008,1,3,CALABARZON,1,360000.00
ByMonth,2008,2,4,CALABARZON,1,535000.00
ByMonth,2008,2,6,CALABARZON,2,353000.00
ByMonth,2008,3,8,CALABARZON,1,18000.00
ByMonth,2008,3,9,CALABARZON,1,186560.00
ByMonth,2009,1,2,CALABARZON,1,90000.00
ByMonth,2009,3,9,CALABARZON,1,990000.00
ByMonth,2010,1,1,CALABARZON,1,120000.00
ByMonth,2010,4,12,CALABARZON,3,348560.00
ByMonth,2011,1,2,CALABARZON,5,30272.00
ByMonth,2011,2,5,CALABARZON,3,60000.00
ByMonth,2012,1,1,CALABARZON,1,2000000.00
ByMonth,2012,2,4,CALABARZON,1,550000.00
ByMonth,2012,3,8,CALABARZON,1,54500.00
ByMonth,2012,3,9,CALABARZON,1,1200000.00
ByMonth,2012,4,10,CALABARZON,1,714560.00
ByMonth,2012,4,12,CALABARZON,1,18000.00
ByMonth,2013,1,1,CALABARZON,1,5000.00
ByMonth,2013,1,2,CALABARZON,4,176000.00
ByMonth,2013,1,3,CALABARZON,8,1860850.00
ByMonth,2013,2,4,CALABARZON,3,491500.00
ByMonth,2013,2,5,CALABARZON,6,914207.50
ByMonth,2013,2,6,CALABARZON,6,818120.00
ByMonth,2013,3,7,CALABARZON,6,1017500.00
ByMonth,2013,3,8,CALABARZON,2,768000.00
ByMonth,2013,3,9,CALABARZON,3,580000.00
ByMonth,2013,4,10,CALABARZON,11,3898000.00
ByMonth,2013,4,11,CALABARZON,2,120000.00
ByMonth,2013,4,12,CALABARZON,3,123000.00
ByMonth,2014,1,1,CALABARZON,1,1002400.00
ByMonth,2014,1,3,CALABARZON,9,3508960.00
ByMonth,2014,2,4,CALABARZON,4,2426000.00
ByMonth,2014,2,5,CALABARZON,16,3349500.00
ByMonth,2014,2,6,CALABARZON,1,45000.00
ByMonth,2014,3,7,CALABARZON,8,6605600.00
ByMonth,2014,3,8,CALABARZON,5,2895000.00
ByMonth,2014,3,9,CALABARZON,3,340606.00
