tbl,year,qtr,month,region_name,total_proj_cost
ByYear,NULL,,,CALABARZON,535351467
ByYear,2002,,,CALABARZON,150000
ByYear,2005,,,CALABARZON,2493000
ByYear,2006,,,CALABARZON,926592
ByYear,2007,,,CALABARZON,867000
ByYear,2008,,,CALABARZON,3562000
ByYear,2009,,,CALABARZON,1559750
ByYear,2010,,,CALABARZON,100000
ByYear,2011,,,CALABARZON,1587890
ByYear,2012,,,CALABARZON,14418053
ByYear,2013,,,CALABARZON,38296604
ByYear,2014,,,CALABARZON,43036599
ByYear,2015,,,CALABARZON,39221935
ByYear,2016,,,CALABARZON,27088297
ByYear,2017,,,CALABARZON,126833627
ByYear,2018,,,CALABARZON,89600373
ByYear,2019,,,CALABARZON,52669085
ByYear,2020,,,CALABARZON,78625799
ByYear,2021,,,CALABARZON,18155227
ByQtr,NULL,NULL,,CALABARZON,535351467
ByQtr,2002,1,,CALABARZON,150000
ByQtr,2005,1,,CALABARZON,2020000
ByQtr,2005,3,,CALABARZON,473000
ByQtr,2006,1,,CALABARZON,926592
ByQtr,2007,1,,CALABARZON,867000
ByQtr,2008,1,,CALABARZON,2935000
ByQtr,2008,3,,CALABARZON,627000
ByQtr,2009,1,,CALABARZON,1559750
ByQtr,2010,4,,CALABARZON,100000
ByQtr,2011,1,,CALABARZON,500000
ByQtr,2011,3,,CALABARZON,729400
ByQtr,2011,4,,CALABARZON,358490
ByQtr,2012,1,,CALABARZON,1427670
ByQtr,2012,2,,CALABARZON,3848960
ByQtr,2012,3,,CALABARZON,3545969
ByQtr,2012,4,,CALABARZON,5595454
ByQtr,2013,1,,CALABARZON,16524239
ByQtr,2013,2,,CALABARZON,6781199
ByQtr,2013,3,,CALABARZON,10716746
ByQtr,2013,4,,CALABARZON,4274420
ByQtr,2014,1,,CALABARZON,14824617
ByQtr,2014,2,,CALABARZON,12232554
ByQtr,2014,3,,CALABARZON,10164442
ByQtr,2014,4,,CALABARZON,5814986
ByQtr,2015,1,,CALABARZON,15751131
ByQtr,2015,2,,CALABARZON,7473915
ByQtr,2015,3,,CALABARZON,5008985
ByQtr,2015,4,,CALABARZON,10987904
ByQtr,2016,1,,CALABARZON,6480150
ByQtr,2016,2,,CALABARZON,743864
ByQtr,2016,3,,CALABARZON,7967370
ByQtr,2016,4,,CALABARZON,11896913
ByQtr,2017,1,,CALABARZON,50793697
ByQtr,2017,2,,CALABARZON,27462581
ByQtr,2017,3,,CALABARZON,18052000
ByQtr,2017,4,,CALABARZON,30525349
ByQtr,2018,1,,CALABARZON,30952725
ByQtr,2018,2,,CALABARZON,23374443
ByQtr,2018,3,,CALABARZON,18444589
ByQtr,2018,4,,CALABARZON,16828616
ByQtr,2019,1,,CALABARZON,11627435
ByQtr,2019,2,,CALABARZON,7807250
ByQtr,2019,3,,CALABARZON,13942300
ByQtr,2019,4,,CALABARZON,19292100
ByQtr,2020,1,,CALABARZON,11572820
ByQtr,2020,2,,CALABARZON,11567771
ByQtr,2020,3,,CALABARZON,15872682
ByQtr,2020,4,,CALABARZON,39612526
ByQtr,2021,1,,CALABARZON,8901142
ByQtr,2021,2,,CALABARZON,7027520
ByQtr,2021,3,,CALABARZON,1750000
ByQtr,2021,4,,CALABARZON,476565
ByMonth,NULL,NULL,NULL,CALABARZON,535351467
ByMonth,2002,1,1,CALABARZON,150000
ByMonth,2005,1,1,CALABARZON,2020000
ByMonth,2005,3,7,CALABARZON,473000
ByMonth,2006,1,1,CALABARZON,926592
ByMonth,2007,1,1,CALABARZON,867000
ByMonth,2008,1,1,CALABARZON,2935000
ByMonth,2008,3,8,CALABARZON,627000
ByMonth,2009,1,1,CALABARZON,1559750
ByMonth,2010,4,12,CALABARZON,100000
ByMonth,2011,1,3,CALABARZON,500000
ByMonth,2011,3,8,CALABARZON,729400
ByMonth,2011,4,11,CALABARZON,358490
ByMonth,2012,1,2,CALABARZON,1427670
ByMonth,2012,2,4,CALABARZON,2861260
ByMonth,2012,2,6,CALABARZON,987700
ByMonth,2012,3,7,CALABARZON,545969
